id,nombre,descripcion,categoria,precio,imagen,codigo,stock
2016,Sellador del Toro 4kg ,Sellador del Toro 4kg ,Ferreteria,285,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/6650516261.jpg,6650516261,0
2017,Sellador Para Pintura A Granel 1L,Sellador Para Pintura A Granel 1L, ,50,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/613316310631.jpg,613316310631,9984.75
2018,Separador De Loseta 3mm,Separador De Loseta 3mm, ,30,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206628522.jpg,7501206628522,1
2019,Separador De Loseta 5mm,Separador De Loseta 5mm, ,35,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206628539.jpg,7501206628539,4
2020,Separador De Loseta 8mm,Separador De Loseta 8mm,Ferreteria,40,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206695456.jpg,7501206695456,2
2021,Separadores De Loseta 2mm Truper,Separadores De Loseta 2mm Truper, ,30,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206628515.jpg,7501206628515,-2
2022,Separadores Huecos de loseta 5mm,Separadores Huecos de loseta 5mm,Ferreteria,32,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7502309735698.jpg,7502309735698,2
2023,Separadores Huecos de loseta 7mm,Separadores Huecos de loseta 7mm,Ferreteria,39,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7502309735704.jpg,7502309735704,1
2024,Serrucho 18 Pulgadas Pretul,Serrucho 18 Pulgadas Pretul,Ferreteria,79,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206624548.jpg,7501206624548,0
2025,Serrucho 20 Pulgadas Pretul,Serrucho 20 Pulgadas Pretul,Ferreteria,89,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206624555.jpg,7501206624555,1
2026,silicon 280ml Ocitec RTV,silicon 280ml Ocitec RTV,Ferreteria,95,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7503020087486.jpg,7503020087486,1
2027,Silicon Blanco 280ml Truper,Silicon Blanco 280ml Truper,Ferreteria,92,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206650493.jpg,7501206650493,1
2028,Silicon blanco para baños 85g Truper,Silicon blanco para baños 85g Truper,Ferreteria,45,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501206650516.jpg,7501206650516,4
2029,Silicon Blanco Presto 300ml,Silicon Blanco Presto 300ml,Ferreteria,105,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501315644307.jpg,7501315644307,0
2030,Silicon De Barra Caliente Grueso Matiz,Silicon De Barra Caliente Grueso Matiz,Papeleria,7,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501987590360.jpg,7501987590360,10
2031,Silicon De Barra Caliente Matiz,Silicon De Barra Caliente Matiz,Papeleria,3,https://raw.githubusercontent.com/Ferrerodillo/Tiendaonline/refs/heads/main/Imagenes/7501987590346.jpg,7501987590346,16
